filename,TGT,OTH,prev_phone,next_phone,TGT_item,OTH_item,X_item,speaker_tgt_oth,speaker_x,TGT_first,TGT_first_code,language_stimuli,language_stimuli_code,w2vt7_distance_tgt,w2vt7_distance_oth,w2vt8_distance_tgt,w2vt8_distance_oth,w2vt9_distance_tgt,w2vt9_distance_oth,w2vt10_distance_tgt,w2vt10_distance_oth,w2vt0_distance_tgt,w2vt0_distance_oth,w2vt1_distance_tgt,w2vt1_distance_oth,w2vt2_distance_tgt,w2vt2_distance_oth,w2vt3_distance_tgt,w2vt3_distance_oth,w2vt4_distance_tgt,w2vt4_distance_oth,w2vt5_distance_tgt,w2vt5_distance_oth,w2vt6_distance_tgt,w2vt6_distance_oth,w2vt11_distance_tgt,w2vt11_distance_oth,w2vt12_distance_tgt,w2vt12_distance_oth
BR_TRIP20631_1,o,u,s,b,BR465,BR610,BR720,BR-participant3,BR-participant1,True,1,BR,2,0.4443421959877014,0.3280977010726928,0.2666287720203399,0.1868484914302826,0.1610465794801712,0.1430659741163253,0.0208395849913358,0.0173582732677459,0.5310028195381165,0.5244513154029846,0.5183224678039551,0.4773864448070526,0.4689734280109405,0.4357078671455383,0.4226861894130707,0.3949494659900665,0.4033764898777008,0.3660950362682342,0.3996292948722839,0.3319642543792724,0.3643124103546142,0.3159491419792175,0.0081053040921688,0.005795570090413,0.008105304092168808,0.005795570090413094
ES_TRIP8746_0,æ:,i:,l,s,ES22,ES20,ES271,ES-participant2,ES-participant1,False,0,ES,6,0.4389426410198211,0.6571979522705078,0.248104378581047,0.4776954054832458,0.1989958584308624,0.3852547705173492,0.0235926378518342,0.0551047809422016,0.4672281146049499,0.7184121608734131,0.432430624961853,0.6865300536155701,0.3776569366455078,0.6625855565071106,0.3302469551563263,0.6147897243499756,0.3593708574771881,0.5547096729278564,0.3449337780475616,0.5387116074562073,0.3159963190555572,0.5052760243415833,0.0305496472865343,0.0237988419830799,0.03054964728653431,0.02379884198307991
FR_TRIP26463_0,ɑ̃,ɔ̃,z,b,FR2993,FR3325,FR1520,FR-participant7,FR-participant4,False,0,FR,0,0.5156195759773254,0.589460015296936,0.437808096408844,0.4641172289848327,0.3452037274837494,0.2725112736225128,0.0587127245962619,0.0456400886178016,0.641132116317749,0.6814647316932678,0.5981224179267883,0.6352521181106567,0.5139249563217163,0.568863034248352,0.4641106724739074,0.524944007396698,0.4451901316642761,0.5494551658630371,0.425397515296936,0.5517471432685852,0.4152607321739197,0.512852132320404,0.0078027099370956,0.0080337859690189,0.007802709937095642,0.008033785969018936
EN_TRIP12562_1,æ,ɪ,f,s,EN2316,EN2436,EN1654,EN-participant5,EN-participant1,True,1,EN,1,0.4720673263072967,0.4891965389251709,0.2799749970436096,0.3041803240776062,0.249925285577774,0.2282964289188385,0.0312457457184791,0.0337914191186428,0.5754241347312927,0.6109719276428223,0.5372617840766907,0.591387152671814,0.5249632000923157,0.5952901244163513,0.480356216430664,0.5319613814353943,0.4625493288040161,0.4832947850227356,0.4621493220329284,0.454541951417923,0.447111964225769,0.4682539105415344,0.0081839710474014,0.0054127937182784,0.008183971047401428,0.005412793718278408
TU_TRIP2124_1,u,y,ʃ,t,TU92,TU81,TU29,TU-participant4,TU-participant2,True,1,TU,5,0.4017874598503113,0.4745727777481079,0.3333278298377991,0.417160153388977,0.2510607540607452,0.2341637313365936,0.0540383793413639,0.0385849550366401,0.4753913581371307,0.5025678277015686,0.4374938011169433,0.4812145233154297,0.3938883543014526,0.4304555058479309,0.3423925638198852,0.4057332873344421,0.3517076075077057,0.3930014371871948,0.3519943654537201,0.3785155713558197,0.3409333825111389,0.3904979526996612,0.0045775366015732,0.0066561205312609,0.004577536601573229,0.006656120531260967
GR_TRIP145_0,iː,ʏ,b,s,GR175,GR211,GR36,GR-participant2,GR-participant6,False,0,GR,3,0.4067480266094208,0.5544780492782593,0.1944578140974044,0.2663563787937164,0.1212838739156723,0.1209264621138572,0.0163362585008144,0.0137915266677737,0.5881368517875671,0.7378607988357544,0.540153980255127,0.6586785316467285,0.505074143409729,0.6373118758201599,0.4600566923618316,0.5793882012367249,0.434073656797409,0.5612185597419739,0.438426673412323,0.578050971031189,0.4585363864898681,0.6232594847679138,0.0294795874506235,0.0264785792678594,0.029479587450623512,0.02647857926785946
GL_TRIP2508_1,ɔ,o,f,f,GLO131,GLO37,GLO104,S07F,S03M,True,1,GL,4,0.4266175627708435,0.4765021204948425,0.2435390204191208,0.2461011856794357,0.1032623946666717,0.0898817554116249,0.0279501415789127,0.0276958122849464,0.6244938373565674,0.638590931892395,0.5713909864425659,0.5797120928764343,0.5751242637634277,0.5700724124908447,0.5676783919334412,0.564870297908783,0.5060995221138,0.5169194340705872,0.5015581846237183,0.5039647221565247,0.522552490234375,0.5266270637512207,0.0116969356313347,0.016038516536355,0.011696935631334782,0.01603851653635502
BR_TRIP46756_0,ɐ̃,ũ,s,t,BR358,BR433,BR947,BR-participant4,BR-participant5,False,0,BR,2,0.5485053062438965,0.7011515498161316,0.3193987011909485,0.4366402924060821,0.2009965032339096,0.2560359835624695,0.0234177634119987,0.0324228554964065,0.7129719853401184,0.6779680252075195,0.6946312189102173,0.6861745715141296,0.6583415269851685,0.6904664039611816,0.6596375107765198,0.6485354900360107,0.7104146480560303,0.647707998752594,0.681662917137146,0.6415793299674988,0.6146595478057861,0.6261473298072815,0.0163116380572319,0.0096828490495681,0.016311638057231903,0.009682849049568176
GR_TRIP7915_1,uː,ʊ,f,t,GR163,GR237,GR333,GR-participant2,GR-participant4,True,1,GR,3,0.5296598672866821,0.5513725280761719,0.3147335648536682,0.3914259672164917,0.1469108909368515,0.1913040429353714,0.0268851593136787,0.0453506298363208,0.6146242022514343,0.5932728052139282,0.5669498443603516,0.5776324272155762,0.5481458306312561,0.5535171627998352,0.5135840177536011,0.4958553314208984,0.5327144861221313,0.4658219814300537,0.4895840585231781,0.4290748536586761,0.4595493376255035,0.4480427503585815,0.0112341241911053,0.0053233294747769,0.011234124191105366,0.005323329474776983
FR_TRIP19161_0,i,y,z,b,FR2094,FR2299,FR3824,FR-participant3,FR-participant5,False,0,FR,0,0.6119071245193481,0.6157669425010681,0.3334217071533203,0.3402102887630462,0.1747600883245468,0.2398738712072372,0.0228502731770277,0.043530698865652,0.5816245079040527,0.6086227893829346,0.5530509948730469,0.5872211456298828,0.4996739327907562,0.5574978590011597,0.459940105676651,0.5275794863700867,0.4692610800266266,0.5610935091972351,0.4927245378494262,0.5744374990463257,0.4924127459526062,0.5417744517326355,0.0182611979544162,0.0134641230106353,0.018261197954416275,0.013464123010635376
