filename,TGT,OTH,prev_phone,next_phone,TGT_item,OTH_item,X_item,speaker_tgt_oth,speaker_x,TGT_first,TGT_first_code,language_stimuli,language_stimuli_code,w2vt5_fra_distance_tgt,w2vt5_fra_distance_oth
BR_TRIP20631_1,o,u,s,b,BR465,BR610,BR720,BR-participant3,BR-participant1,True,1,BR,2,0.39962929487228394,0.33196425437927246
ES_TRIP8746_0,æ:,i:,l,s,ES22,ES20,ES271,ES-participant2,ES-participant1,False,0,ES,6,0.34493377804756165,0.5387116074562073
FR_TRIP26463_0,ɑ̃,ɔ̃,z,b,FR2993,FR3325,FR1520,FR-participant7,FR-participant4,False,0,FR,0,0.42539751529693604,0.5517471432685852
EN_TRIP12562_1,æ,ɪ,f,s,EN2316,EN2436,EN1654,EN-participant5,EN-participant1,True,1,EN,1,0.46214932203292847,0.454541951417923
TU_TRIP2124_1,u,y,ʃ,t,TU92,TU81,TU29,TU-participant4,TU-participant2,True,1,TU,5,0.3519943654537201,0.3785155713558197
GR_TRIP145_0,iː,ʏ,b,s,GR175,GR211,GR36,GR-participant2,GR-participant6,False,0,GR,3,0.438426673412323,0.578050971031189
GL_TRIP2508_1,ɔ,o,f,f,GLO131,GLO37,GLO104,S07F,S03M,True,1,GL,4,0.5015581846237183,0.5039647221565247
BR_TRIP46756_0,ɐ̃,ũ,s,t,BR358,BR433,BR947,BR-participant4,BR-participant5,False,0,BR,2,0.681662917137146,0.6415793299674988
GR_TRIP7915_1,uː,ʊ,f,t,GR163,GR237,GR333,GR-participant2,GR-participant4,True,1,GR,3,0.4895840585231781,0.42907485365867615
FR_TRIP19161_0,i,y,z,b,FR2094,FR2299,FR3824,FR-participant3,FR-participant5,False,0,FR,0,0.49272453784942627,0.5744374990463257
BR_TRIP36051_0,ɛ,e,t,ʃ,BR366,BR370,BR443,BR-participant4,BR-participant3,False,0,BR,2,0.6310634016990662,0.6237519979476929
EN_TRIP17558_0,ɑ,u,z,f,EN2723,EN2756,EN775,EN-participant8,EN-participant4,False,0,EN,1,0.43901702761650085,0.6635022163391113
ES_TRIP21960_0,a:,ɤ:,m,v,ES140,ES79,ES11,ES-participant4,ES-participant2,False,0,ES,6,0.3465511202812195,0.5673106908798218
BR_TRIP60069_1,ũ,ĩ,s,t,BR672,BR849,BR28,BR-participant1,BR-participant2,True,1,BR,2,0.32313406467437744,0.40291827917099
TU_TRIP11912_1,ɯ,i,t,s,TU241,TU255,TU129,TU-participant1,TU-participant4,True,1,TU,5,0.37920886278152466,0.4407852590084076
FR_TRIP26963_0,œ,o,z,b,FR3364,FR3259,FR182,FR-participant7,FR-participant6,False,0,FR,0,0.44938772916793823,0.6219663619995117
EN_TRIP22762_1,ɑ,ʌ,z,f,EN552,EN459,EN1927,EN-participant2,EN-participant7,True,1,EN,1,0.4534827470779419,0.4358943998813629
GR_TRIP61577_1,ʏ,aː,f,s,GR268,GR317,GR621,GR-participant4,GR-participant1,True,1,GR,3,0.43725794553756714,0.6317203640937805
ES_TRIP33498_1,i:,y:,l,s,ES221,ES234,ES293,ES-participant1,ES-participant5,True,1,ES,6,0.44467025995254517,0.5010602474212646
BR_TRIP20451_0,i,e,s,p,BR499,BR445,BR329,BR-participant3,BR-participant4,False,0,BR,2,0.6418334245681763,0.5711861252784729
FR_TRIP30446_0,ɔ,u,f,f,FR2910,FR3169,FR2668,FR-participant7,FR-participant1,False,0,FR,0,0.33354467153549194,0.4909471571445465
GL_TRIP1354_1,aː,a,g,g,GLO50,GLO156,GLO150,S04F,S03M,True,1,GL,4,0.4723411202430725,0.5058425068855286
BR_TRIP25897_1,ẽ,õ,m,d,BR1024,BR890,BR773,BR-participant5,BR-participant1,True,1,BR,2,0.4784168303012848,0.4889112412929535
TU_TRIP5964_0,ɯ,y,p,t,TU188,TU170,TU24,TU-participant3,TU-participant2,False,0,TU,5,0.40070369839668274,0.4268173277378082
GR_TRIP66209_0,yː,øː,l,t,GR379,GR309,GR493,GR-participant4,GR-participant3,False,0,GR,3,0.6011328101158142,0.7234817147254944
ES_TRIP26801_1,ɤ:,i:,m,v,ES184,ES185,ES55,ES-participant3,ES-participant2,True,1,ES,6,0.40690699219703674,0.5542721152305603
GR_TRIP20981_1,ʏ,ɪ,f,s,GR397,GR404,GR115,GR-participant3,GR-participant6,True,1,GR,3,0.3207682967185974,0.5506720542907715
EN_TRIP15269_0,ʊ,ʌ,t,s,EN2689,EN2733,EN1681,EN-participant8,EN-participant1,False,0,EN,1,0.4900352954864502,0.4756184220314026
BR_TRIP66574_1,i,ɛ,d,s,BR758,BR748,BR993,BR-participant1,BR-participant5,True,1,BR,2,0.5361068844795227,0.5197978019714355
FR_TRIP18983_0,e,ɛ,z,b,FR1914,FR1812,FR1623,FR-participant3,FR-participant4,False,0,FR,0,0.6688052415847778,0.6131397485733032
EN_TRIP3200_1,u,ʊ,z,f,EN47,EN207,EN1866,EN-participant6,EN-participant1,True,1,EN,1,0.4243299961090088,0.4468609690666199
BR_TRIP58975_0,ĩ,e,s,p,BR647,BR735,BR558,BR-participant1,BR-participant3,False,0,BR,2,0.4785757064819336,0.4111810624599457
BR_TRIP18676_1,õ,ɔ,k,s,BR514,BR603,BR653,BR-participant3,BR-participant1,True,1,BR,2,0.41269928216934204,0.4993014633655548
