filename,TGT,OTH,prev_phone,next_phone,TGT_item,OTH_item,X_item,speaker_tgt_oth,speaker_x,TGT_first,TGT_first_code,language_stimuli,language_stimuli_code,w2vt9_fra_distance_tgt,w2vt9_fra_distance_oth
BR_TRIP20631_1,o,u,s,b,BR465,BR610,BR720,BR-participant3,BR-participant1,True,1,BR,2,0.25641578435897827,0.2222859412431717
ES_TRIP8746_0,æ:,i:,l,s,ES22,ES20,ES271,ES-participant2,ES-participant1,False,0,ES,6,0.28051647543907166,0.49893292784690857
FR_TRIP26463_0,ɑ̃,ɔ̃,z,b,FR2993,FR3325,FR1520,FR-participant7,FR-participant4,False,0,FR,0,0.23350703716278076,0.30851903557777405
EN_TRIP12562_1,æ,ɪ,f,s,EN2316,EN2436,EN1654,EN-participant5,EN-participant1,True,1,EN,1,0.28790560364723206,0.21095038950443268
TU_TRIP2124_1,u,y,ʃ,t,TU92,TU81,TU29,TU-participant4,TU-participant2,True,1,TU,5,0.20471346378326416,0.3146500885486603
GR_TRIP145_0,iː,ʏ,b,s,GR175,GR211,GR36,GR-participant2,GR-participant6,False,0,GR,3,0.31304797530174255,0.3249252438545227
GL_TRIP2508_1,ɔ,o,f,f,GLO131,GLO37,GLO104,S07F,S03M,True,1,GL,4,0.16291719675064087,0.2082064300775528
BR_TRIP46756_0,ɐ̃,ũ,s,t,BR358,BR433,BR947,BR-participant4,BR-participant5,False,0,BR,2,0.3777239918708801,0.34973272681236267
GR_TRIP7915_1,uː,ʊ,f,t,GR163,GR237,GR333,GR-participant2,GR-participant4,True,1,GR,3,0.30406877398490906,0.2667594850063324
FR_TRIP19161_0,i,y,z,b,FR2094,FR2299,FR3824,FR-participant3,FR-participant5,False,0,FR,0,0.3910941779613495,0.24639002978801727
BR_TRIP36051_0,ɛ,e,t,ʃ,BR366,BR370,BR443,BR-participant4,BR-participant3,False,0,BR,2,0.2501353323459625,0.2988970875740051
EN_TRIP17558_0,ɑ,u,z,f,EN2723,EN2756,EN775,EN-participant8,EN-participant4,False,0,EN,1,0.28808027505874634,0.4398820698261261
ES_TRIP21960_0,a:,ɤ:,m,v,ES140,ES79,ES11,ES-participant4,ES-participant2,False,0,ES,6,0.28844714164733887,0.2772049307823181
BR_TRIP60069_1,ũ,ĩ,s,t,BR672,BR849,BR28,BR-participant1,BR-participant2,True,1,BR,2,0.1476016789674759,0.3696899116039276
