filename,TGT,OTH,prev_phone,next_phone,TGT_item,OTH_item,X_item,speaker_tgt_oth,speaker_x,TGT_first,TGT_first_code,language_stimuli,language_stimuli_code,w2vt7_fra_distance_tgt,w2vt7_fra_distance_oth
BR_TRIP20631_1,o,u,s,b,BR465,BR610,BR720,BR-participant3,BR-participant1,True,1,BR,2,0.3440704047679901,0.3530215322971344
ES_TRIP8746_0,æ:,i:,l,s,ES22,ES20,ES271,ES-participant2,ES-participant1,False,0,ES,6,0.30217230319976807,0.5171744227409363
FR_TRIP26463_0,ɑ̃,ɔ̃,z,b,FR2993,FR3325,FR1520,FR-participant7,FR-participant4,False,0,FR,0,0.4404091536998749,0.5017163753509521
EN_TRIP12562_1,æ,ɪ,f,s,EN2316,EN2436,EN1654,EN-participant5,EN-participant1,True,1,EN,1,0.41730424761772156,0.5121583342552185
TU_TRIP2124_1,u,y,ʃ,t,TU92,TU81,TU29,TU-participant4,TU-participant2,True,1,TU,5,0.35713088512420654,0.3764156103134155
GR_TRIP145_0,iː,ʏ,b,s,GR175,GR211,GR36,GR-participant2,GR-participant6,False,0,GR,3,0.4279121160507202,0.6302222013473511
GL_TRIP2508_1,ɔ,o,f,f,GLO131,GLO37,GLO104,S07F,S03M,True,1,GL,4,0.5323727130889893,0.5284041166305542
BR_TRIP46756_0,ɐ̃,ũ,s,t,BR358,BR433,BR947,BR-participant4,BR-participant5,False,0,BR,2,0.5818490982055664,0.6253519058227539
GR_TRIP7915_1,uː,ʊ,f,t,GR163,GR237,GR333,GR-participant2,GR-participant4,True,1,GR,3,0.4220364987850189,0.43096351623535156
FR_TRIP19161_0,i,y,z,b,FR2094,FR2299,FR3824,FR-participant3,FR-participant5,False,0,FR,0,0.5434954166412354,0.502721905708313
BR_TRIP36051_0,ɛ,e,t,ʃ,BR366,BR370,BR443,BR-participant4,BR-participant3,False,0,BR,2,0.6302831768989563,0.6242375373840332
EN_TRIP17558_0,ɑ,u,z,f,EN2723,EN2756,EN775,EN-participant8,EN-participant4,False,0,EN,1,0.512395441532135,0.7191810607910156
ES_TRIP21960_0,a:,ɤ:,m,v,ES140,ES79,ES11,ES-participant4,ES-participant2,False,0,ES,6,0.32025769352912903,0.4443409740924835
BR_TRIP60069_1,ũ,ĩ,s,t,BR672,BR849,BR28,BR-participant1,BR-participant2,True,1,BR,2,0.36567917466163635,0.4411613941192627
TU_TRIP11912_1,ɯ,i,t,s,TU241,TU255,TU129,TU-participant1,TU-participant4,True,1,TU,5,0.3932570815086365,0.4208245575428009
FR_TRIP26963_0,œ,o,z,b,FR3364,FR3259,FR182,FR-participant7,FR-participant6,False,0,FR,0,0.5064478516578674,0.6354817748069763
EN_TRIP22762_1,ɑ,ʌ,z,f,EN552,EN459,EN1927,EN-participant2,EN-participant7,True,1,EN,1,0.43293172121047974,0.41715845465660095
GR_TRIP61577_1,ʏ,aː,f,s,GR268,GR317,GR621,GR-participant4,GR-participant1,True,1,GR,3,0.5397925972938538,0.6885745525360107
ES_TRIP33498_1,i:,y:,l,s,ES221,ES234,ES293,ES-participant1,ES-participant5,True,1,ES,6,0.5098538994789124,0.5074373483657837
BR_TRIP20451_0,i,e,s,p,BR499,BR445,BR329,BR-participant3,BR-participant4,False,0,BR,2,0.6370010375976562,0.6027895212173462
FR_TRIP30446_0,ɔ,u,f,f,FR2910,FR3169,FR2668,FR-participant7,FR-participant1,False,0,FR,0,0.3354937434196472,0.5629721283912659
GL_TRIP1354_1,aː,a,g,g,GLO50,GLO156,GLO150,S04F,S03M,True,1,GL,4,0.4488849937915802,0.4667423963546753
BR_TRIP25897_1,ẽ,õ,m,d,BR1024,BR890,BR773,BR-participant5,BR-participant1,True,1,BR,2,0.48070526123046875,0.538551926612854
TU_TRIP5964_0,ɯ,y,p,t,TU188,TU170,TU24,TU-participant3,TU-participant2,False,0,TU,5,0.5402355194091797,0.5096200704574585
